jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
,wt_d1338,,,,,,,,,,85,mmu-miR-183-5p,Ppm1e,protein phosphatase 1E (PP2C domain containing),ENSMUSG00000046442.4,Ppm1e,2.6911047,3.82137e-06
mf_wt,wt_d1338,Idh2,Idh2,ENSMUST00000107384.4,"isocitrate dehydrogenase 2 (NADP+), mitochondrial ",mmu-miR-183-5p,-0.6,ENSMUSG00000030541.16,0.1859179,2.03142e-19,92,mmu-miR-183-5p,Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",ENSMUSG00000030541.16,Idh2,2.611624,1.9991e-99
wt_d1338,wt_d1338,Idh2,Idh2,ENSMUST00000107384.4,"isocitrate dehydrogenase 2 (NADP+), mitochondrial ",mmu-miR-183-5p,-0.6,ENSMUSG00000030541.16,2.611624,1.9991e-99,92,mmu-miR-183-5p,Idh2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",ENSMUSG00000030541.16,Idh2,2.611624,1.9991e-99
,wt_d1338,,,,,,,,,,80,mmu-miR-183-5p,Trim2,tripartite motif-containing 2,ENSMUSG00000027993.16,Trim2,2.1923969,2.38475e-05
wt_d1338,wt_d1338,Ctdspl,Ctdspl,ENSMUST00000073109.6,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like ",mmu-miR-183-5p,-0.4,ENSMUSG00000047409.13,2.1678064,3.716e-10,93,mmu-miR-183-5p,Ctdspl,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like",ENSMUSG00000047409.13,Ctdspl,2.1678064,3.716e-10
,wt_d1338,,,,,,,,,,82,mmu-miR-183-5p,Cnr2,cannabinoid receptor 2 (macrophage),ENSMUSG00000062585.11,Cnr2,1.9797155,4.35275e-07
mf_d1338,wt_d1338,Unc13b,Unc13b,ENSMUST00000079978.7,unc-13 homolog B (C. elegans) ,mmu-miR-183-5p,-0.64,ENSMUSG00000028456.18,0.21601471,0.031094772,100,mmu-miR-183-5p,Unc13b,unc-13 homolog B,ENSMUSG00000028456.18,Unc13b,1.6727734,1.22697e-09
wt_d1338,wt_d1338,Unc13b,Unc13b,ENSMUST00000079978.7,unc-13 homolog B (C. elegans) ,mmu-miR-183-5p,-0.64,ENSMUSG00000028456.18,1.6727734,1.22697e-09,100,mmu-miR-183-5p,Unc13b,unc-13 homolog B,ENSMUSG00000028456.18,Unc13b,1.6727734,1.22697e-09
,wt_d1338,,,,,,,,,,80,mmu-miR-183-5p,Flrt3,fibronectin leucine rich transmembrane protein 3,ENSMUSG00000051379.12,Flrt3,1.6704895,0.001032025
,wt_d1338,,,,,,,,,,89,mmu-miR-183-5p,Gng4,"guanine nucleotide binding protein (G protein), gamma 4",ENSMUSG00000021303.14,Gng4,-1.5029591,0.024720979
,wt_d1338,,,,,,,,,,82,mmu-miR-183-5p,Samd4,sterile alpha motif domain containing 4,ENSMUSG00000021838.17,Samd4,-1.5511682,0.003740926
,wt_d1338,,,,,,,,,,91,mmu-miR-183-5p,Atp2b4,"ATPase, Ca++ transporting, plasma membrane 4",ENSMUSG00000026463.17,Atp2b4,-1.6203853,4.23193e-34
,wt_d1338,,,,,,,,,,83,mmu-miR-183-5p,Cd3d,"CD3 antigen, delta polypeptide",ENSMUSG00000032094.8,Cd3d,-1.9834012,2.93558e-10
,wt_d1338,,,,,,,,,,81,mmu-miR-183-5p,Sema3e,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3E",ENSMUSG00000063531.7,Sema3e,-4.3594503,6.2725e-05
mf_d1338,mf_d1338,Grem2,Grem2,ENSMUST00000055294.3,"gremlin 2 homolog, cysteine knot superfamily (Xenopus laevis) ",mmu-miR-183-5p,-0.41,ENSMUSG00000050069.3,86.15537,0.000373456,82,mmu-miR-183-5p,Grem2,"gremlin 2, DAN family BMP antagonist",ENSMUSG00000050069.3,Grem2,86.15537,0.000373456
,mf_d1338,,,,,,,,,,92,mmu-miR-183-5p,Enah,ENAH actin regulator,ENSMUSG00000022995.16,Enah,10.160637,0.01277775
mf_d1338,mf_d1338,Unc13b,Unc13b,ENSMUST00000079978.7,unc-13 homolog B (C. elegans) ,mmu-miR-183-5p,-0.64,ENSMUSG00000028456.18,0.21601471,0.031094772,100,mmu-miR-183-5p,Unc13b,unc-13 homolog B,ENSMUSG00000028456.18,Unc13b,0.21601471,0.031094772
wt_d1338,mf_d1338,Unc13b,Unc13b,ENSMUST00000079978.7,unc-13 homolog B (C. elegans) ,mmu-miR-183-5p,-0.64,ENSMUSG00000028456.18,1.6727734,1.22697e-09,100,mmu-miR-183-5p,Unc13b,unc-13 homolog B,ENSMUSG00000028456.18,Unc13b,0.21601471,0.031094772
,mf_d1338,,,,,,,,,,85,mmu-miR-183-5p,Ppm1e,protein phosphatase 1E (PP2C domain containing),ENSMUSG00000046442.4,Ppm1e,0.061890874,0.004063007
