jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
,wt_d1338,,,,,,,,,,89,mmu-miR-182-5p,Rnf144b,ring finger protein 144B,ENSMUSG00000038068.15,Rnf144b,3.436609,4.44395e-22
,wt_d1338,,,,,,,,,,80,mmu-miR-182-5p,Igf1,insulin-like growth factor 1,ENSMUSG00000020053.18,Igf1,3.1389663,2.91138e-90
,wt_d1338,,,,,,,,,,85,mmu-miR-182-5p,Camkk2,"calcium/calmodulin-dependent protein kinase kinase 2, beta",ENSMUSG00000029471.13,Camkk2,2.9079905,2.96697e-86
,wt_d1338,,,,,,,,,,84,mmu-miR-182-5p,Cfh,complement component factor h,ENSMUSG00000026365.15,Cfh,2.9076977,5.22354e-11
,wt_d1338,,,,,,,,,,87,mmu-miR-182-5p,Olfm1,olfactomedin 1,ENSMUSG00000026833.18,Olfm1,2.6780128,2.1087e-153
,wt_d1338,,,,,,,,,,89,mmu-miR-182-5p,Prune2,prune homolog 2,ENSMUSG00000039126.10,Prune2,2.5357451,0.001630091
,wt_d1338,,,,,,,,,,84,mmu-miR-182-5p,Ntn4,netrin 4,ENSMUSG00000020019.4,Ntn4,2.5042953,0.016691286
,wt_d1338,,,,,,,,,,91,mmu-miR-182-5p,Fam43a,"family with sequence similarity 43, member A",ENSMUSG00000046546.3,Fam43a,2.3380256,1.7273e-39
,wt_d1338,,,,,,,,,,81,mmu-miR-182-5p,Slc16a9,"solute carrier family 16 (monocarboxylic acid transporters), member 9",ENSMUSG00000037762.6,Slc16a9,2.184955,1.37581e-13
,wt_d1338,,,,,,,,,,81,mmu-miR-182-5p,Ahr,aryl-hydrocarbon receptor,ENSMUSG00000019256.17,Ahr,1.9678265,2.81526e-21
,wt_d1338,,,,,,,,,,88,mmu-miR-182-5p,Reps2,RALBP1 associated Eps domain containing protein 2,ENSMUSG00000040855.15,Reps2,1.9631511,8.05665e-05
,wt_d1338,,,,,,,,,,91,mmu-miR-182-5p,Igsf3,"immunoglobulin superfamily, member 3",ENSMUSG00000042035.11,Igsf3,1.8527623,9.88703e-09
,wt_d1338,,,,,,,,,,93,mmu-miR-182-5p,Adgrl2,adhesion G protein-coupled receptor L2,ENSMUSG00000028184.12,Adgrl2,1.8003387,1.26328e-14
,wt_d1338,,,,,,,,,,88,mmu-miR-182-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,1.7544854,1.99981e-11
,wt_d1338,,,,,,,,,,89,mmu-miR-182-5p,Ttc9,tetratricopeptide repeat domain 9,ENSMUSG00000042734.6,Ttc9,1.7331064,5.70313e-05
,wt_d1338,,,,,,,,,,81,mmu-miR-182-5p,Ttyh3,tweety family member 3,ENSMUSG00000036565.7,Ttyh3,1.7079923,7.69506e-20
,wt_d1338,,,,,,,,,,80,mmu-miR-182-5p,Sla,src-like adaptor,ENSMUSG00000022372.14,Sla,1.6584873,1.95857e-29
,wt_d1338,,,,,,,,,,85,mmu-miR-182-5p,Tarbp1,TAR RNA binding protein 1,ENSMUSG00000090290.2,Tarbp1,1.5433986,1.09705e-17
,wt_d1338,,,,,,,,,,93,mmu-miR-182-5p,Ednrb,endothelin receptor type B,ENSMUSG00000022122.15,Ednrb,1.5299419,4.1898e-143
,wt_d1338,,,,,,,,,,80,mmu-miR-182-5p,Cadps2,Ca2+-dependent activator protein for secretion 2,ENSMUSG00000017978.18,Cadps2,1.5258243,6.98389e-08
,wt_d1338,,,,,,,,,,87,mmu-miR-182-5p,Gcnt1,"glucosaminyl (N-acetyl) transferase 1, core 2",ENSMUSG00000038843.18,Gcnt1,1.5118853,6.30248e-13
,wt_d1338,,,,,,,,,,84,mmu-miR-182-5p,Klrb1b,killer cell lectin-like receptor subfamily B member 1B,ENSMUSG00000079298.9,Klrb1b,-1.5100224,0.009714442
,wt_d1338,,,,,,,,,,82,mmu-miR-182-5p,Zdhhc2,"zinc finger, DHHC domain containing 2",ENSMUSG00000039470.15,Zdhhc2,-1.51569,3.68413e-11
,wt_d1338,,,,,,,,,,82,mmu-miR-182-5p,Rhobtb1,Rho-related BTB domain containing 1,ENSMUSG00000019944.14,Rhobtb1,-1.5495583,6.54478e-13
,wt_d1338,,,,,,,,,,83,mmu-miR-182-5p,Arrdc3,arrestin domain containing 3,ENSMUSG00000074794.10,Arrdc3,-1.6783893,4.71547e-15
,wt_d1338,,,,,,,,,,87,mmu-miR-182-5p,Slc23a2,"solute carrier family 23 (nucleobase transporters), member 2",ENSMUSG00000027340.15,Slc23a2,-1.7050508,1.30893e-40
mf_wt,wt_d1338,Nckap1,Nckap1,ENSMUST00000028386.6,NCK-associated protein 1 ,mmu-miR-182-5p,-0.4,ENSMUSG00000027002.13,5.1303387,1.19765e-06,88,mmu-miR-182-5p,Nckap1,NCK-associated protein 1,ENSMUSG00000027002.13,Nckap1,-1.7212731,1.30085e-32
wt_d1338,wt_d1338,Nckap1,Nckap1,ENSMUST00000028386.6,NCK-associated protein 1 ,mmu-miR-182-5p,-0.4,ENSMUSG00000027002.13,-1.7212731,1.30085e-32,88,mmu-miR-182-5p,Nckap1,NCK-associated protein 1,ENSMUSG00000027002.13,Nckap1,-1.7212731,1.30085e-32
,wt_d1338,,,,,,,,,,88,mmu-miR-182-5p,Gna13,"guanine nucleotide binding protein, alpha 13",ENSMUSG00000020611.14,Gna13,-1.9006953,2.1765e-168
,wt_d1338,,,,,,,,,,91,mmu-miR-182-5p,Slc1a2,"solute carrier family 1 (glial high affinity glutamate transporter), member 2",ENSMUSG00000005089.15,Slc1a2,-1.9922503,1.18475e-18
,wt_d1338,,,,,,,,,,95,mmu-miR-182-5p,Slco3a1,"solute carrier organic anion transporter family, member 3a1",ENSMUSG00000025790.14,Slco3a1,-2.0547116,4.05741e-78
