jtb_ts,jtb_db,symbol_ts,target_gene_ts,representative_transcript_ts,gene_name_ts,representative_mi_rna_ts,cumulative_weighted_context_score_ts,ensembl_ts,fold_change_ts,padj_ts,target_score_db,mirna_db,gene_symbol_db,gene_description_db,ensembl_db,symbol_db,fold_change_db,padj_db
,wt_d1338,,,,,,,,,,88,mmu-miR-96-5p,Ppbp,pro-platelet basic protein,ENSMUSG00000029372.7,Ppbp,4.330742,5.54047e-44
,wt_d1338,,,,,,,,,,86,mmu-miR-96-5p,Pard3b,par-3 family cell polarity regulator beta,ENSMUSG00000052062.14,Pard3b,3.4862664,2.54499e-08
,wt_d1338,,,,,,,,,,84,mmu-miR-96-5p,Deptor,DEP domain containing MTOR-interacting protein,ENSMUSG00000022419.16,Deptor,2.949018,3.03414e-29
,wt_d1338,,,,,,,,,,87,mmu-miR-96-5p,Camkk2,"calcium/calmodulin-dependent protein kinase kinase 2, beta",ENSMUSG00000029471.13,Camkk2,2.9079905,2.96697e-86
mf_wt,wt_d1338,Foxq1,Foxq1,ENSMUST00000042118.9,forkhead box Q1 ,mmu-miR-96-5p,-0.57,ENSMUSG00000038415.10,0.08525521,1.09025e-05,95,mmu-miR-96-5p,Foxq1,forkhead box Q1,ENSMUSG00000038415.10,Foxq1,2.81121,0.000576452
wt_d1338,wt_d1338,Foxq1,Foxq1,ENSMUST00000042118.9,forkhead box Q1 ,mmu-miR-96-5p,-0.57,ENSMUSG00000038415.10,2.81121,0.000576452,95,mmu-miR-96-5p,Foxq1,forkhead box Q1,ENSMUSG00000038415.10,Foxq1,2.81121,0.000576452
,wt_d1338,,,,,,,,,,85,mmu-miR-96-5p,Vangl2,VANGL planar cell polarity 2,ENSMUSG00000026556.15,Vangl2,2.74762,1.9671e-07
,wt_d1338,,,,,,,,,,87,mmu-miR-96-5p,Olfm1,olfactomedin 1,ENSMUSG00000026833.18,Olfm1,2.6780128,2.1087e-153
wt_d1338,wt_d1338,Serpinb2,Serpinb2,ENSMUST00000009356.5,"serine (or cysteine) peptidase inhibitor, clade B, member 2 ",mmu-miR-96-5p,-0.49,ENSMUSG00000062345.10,2.6631632,1.52511e-38,95,mmu-miR-96-5p,Serpinb2,"serine (or cysteine) peptidase inhibitor, clade B, member 2",ENSMUSG00000062345.10,Serpinb2,2.6631632,1.52511e-38
mf_wt,wt_d1338,Ntn4,Ntn4,ENSMUST00000020204.4,netrin 4 ,mmu-miR-96-5p,-0.62,ENSMUSG00000020019.4,0.1531355,0.023459446,97,mmu-miR-96-5p,Ntn4,netrin 4,ENSMUSG00000020019.4,Ntn4,2.5042953,0.016691286
wt_d1338,wt_d1338,Ntn4,Ntn4,ENSMUST00000020204.4,netrin 4 ,mmu-miR-96-5p,-0.62,ENSMUSG00000020019.4,2.5042953,0.016691286,97,mmu-miR-96-5p,Ntn4,netrin 4,ENSMUSG00000020019.4,Ntn4,2.5042953,0.016691286
,wt_d1338,,,,,,,,,,82,mmu-miR-96-5p,Fam43a,"family with sequence similarity 43, member A",ENSMUSG00000046546.3,Fam43a,2.3380256,1.7273e-39
mf_wt,wt_d1338,Lrrc3,Lrrc3,ENSMUST00000057608.4,leucine rich repeat containing 3 ,mmu-miR-96-5p,-0.52,ENSMUSG00000051652.4,0.11950561,8.41239e-07,84,mmu-miR-96-5p,Lrrc3,leucine rich repeat containing 3,ENSMUSG00000051652.4,Lrrc3,2.320725,3.57718e-06
wt_d1338,wt_d1338,Lrrc3,Lrrc3,ENSMUST00000057608.4,leucine rich repeat containing 3 ,mmu-miR-96-5p,-0.52,ENSMUSG00000051652.4,2.320725,3.57718e-06,84,mmu-miR-96-5p,Lrrc3,leucine rich repeat containing 3,ENSMUSG00000051652.4,Lrrc3,2.320725,3.57718e-06
,wt_d1338,,,,,,,,,,93,mmu-miR-96-5p,Slc16a9,"solute carrier family 16 (monocarboxylic acid transporters), member 9",ENSMUSG00000037762.6,Slc16a9,2.184955,1.37581e-13
,wt_d1338,,,,,,,,,,82,mmu-miR-96-5p,Sort1,sortilin 1,ENSMUSG00000068747.14,Sort1,2.0671551,1.02701e-71
,wt_d1338,,,,,,,,,,82,mmu-miR-96-5p,Celsr2,"cadherin, EGF LAG seven-pass G-type receptor 2",ENSMUSG00000068740.13,Celsr2,2.0626996,0.008913037
,wt_d1338,,,,,,,,,,91,mmu-miR-96-5p,Uck2,uridine-cytidine kinase 2,ENSMUSG00000026558.13,Uck2,1.9961187,4.15732e-17
,wt_d1338,,,,,,,,,,95,mmu-miR-96-5p,Ahr,aryl-hydrocarbon receptor,ENSMUSG00000019256.17,Ahr,1.9678265,2.81526e-21
,wt_d1338,,,,,,,,,,84,mmu-miR-96-5p,Reps2,RALBP1 associated Eps domain containing protein 2,ENSMUSG00000040855.15,Reps2,1.9631511,8.05665e-05
,wt_d1338,,,,,,,,,,89,mmu-miR-96-5p,Epb41l3,erythrocyte membrane protein band 4.1 like 3,ENSMUSG00000024044.19,Epb41l3,1.9622568,5.85543e-19
,wt_d1338,,,,,,,,,,81,mmu-miR-96-5p,Adgrl2,adhesion G protein-coupled receptor L2,ENSMUSG00000028184.12,Adgrl2,1.8003387,1.26328e-14
mf_wt,wt_d1338,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,0.05254826,2.0345e-08,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,1.7544854,1.99981e-11
mf_d1338,wt_d1338,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,0.09542484,0.001065973,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,1.7544854,1.99981e-11
wt_d1338,wt_d1338,Rgs2,Rgs2,ENSMUST00000127206.2,regulator of G-protein signaling 2 ,mmu-miR-96-5p,-0.59,ENSMUSG00000026360.9,1.7544854,1.99981e-11,83,mmu-miR-96-5p,Rgs2,regulator of G-protein signaling 2,ENSMUSG00000026360.9,Rgs2,1.7544854,1.99981e-11
wt_d1338,wt_d1338,Ttyh3,Ttyh3,ENSMUST00000042661.3,tweety homolog 3 (Drosophila) ,mmu-miR-96-5p,-0.44,ENSMUSG00000036565.7,1.7079923,7.69506e-20,98,mmu-miR-96-5p,Ttyh3,tweety family member 3,ENSMUSG00000036565.7,Ttyh3,1.7079923,7.69506e-20
wt_d1338,wt_d1338,Sox5,Sox5,ENSMUST00000111748.2,SRY (sex determining region Y)-box 5 ,mmu-miR-96-5p,-0.47,ENSMUSG00000041540.16,1.6654336,0.002384457,85,mmu-miR-96-5p,Sox5,SRY (sex determining region Y)-box 5,ENSMUSG00000041540.16,Sox5,1.6654336,0.002384457
,wt_d1338,,,,,,,,,,82,mmu-miR-96-5p,Igf2bp1,insulin-like growth factor 2 mRNA binding protein 1,ENSMUSG00000013415.9,Igf2bp1,1.6643767,1.12996e-21
wt_d1338,wt_d1338,Slc6a9,Slc6a9,ENSMUST00000030269.8,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 ",mmu-miR-96-5p,-0.5,ENSMUSG00000028542.17,1.6587117,1.28566e-10,98,mmu-miR-96-5p,Slc6a9,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9",ENSMUSG00000028542.17,Slc6a9,1.6587117,1.28566e-10
,wt_d1338,,,,,,,,,,85,mmu-miR-96-5p,Tarbp1,TAR RNA binding protein 1,ENSMUSG00000090290.2,Tarbp1,1.5433986,1.09705e-17
,wt_d1338,,,,,,,,,,81,mmu-miR-96-5p,Ednrb,endothelin receptor type B,ENSMUSG00000022122.15,Ednrb,1.5299419,4.1898e-143
,wt_d1338,,,,,,,,,,81,mmu-miR-96-5p,Slc12a5,"solute carrier family 12, member 5",ENSMUSG00000017740.17,Slc12a5,1.5292381,1.29932e-06
wt_d1338,wt_d1338,Sh3bp5,Sh3bp5,ENSMUST00000100730.4,SH3-domain binding protein 5 (BTK-associated) ,mmu-miR-96-5p,-0.47,ENSMUSG00000021892.14,1.5192605,6.92027e-33,85,mmu-miR-96-5p,Sh3bp5,SH3-domain binding protein 5 (BTK-associated),ENSMUSG00000021892.14,Sh3bp5,1.5192605,6.92027e-33
,wt_d1338,,,,,,,,,,87,mmu-miR-96-5p,Gcnt1,"glucosaminyl (N-acetyl) transferase 1, core 2",ENSMUSG00000038843.18,Gcnt1,1.5118853,6.30248e-13
